CO,CDS,DISTRICT,EDP 365,"Current
Expense ADA","Current
Expense Per ADA",LEA Type
1,61119,Alameda Unified,"122,421,584.91","8,975.20","13,639.98",Unified
1,61127,Albany City Unified,"47,343,135.51","3,484.19","13,587.99",Unified
1,61143,Berkeley Unified,"173,753,016.19","9,426.03","18,433.32",Unified
1,61150,Castro Valley Unified,"105,286,407.91","8,976.77","11,728.76",Unified
1,61168,Emery Unified,"12,731,320.51",688.6,"18,488.70",Unified
1,61176,Fremont Unified,"374,901,551.77","33,933.99","11,047.97",Unified
1,61192,Hayward Unified,"289,384,778.70","18,711.84","15,465.33",Unified
1,61200,Livermore Valley Joint Unified,"163,383,447.30","13,195.12","12,382.11",Unified
1,61218,Mountain House Elementary,"513,012.92",14.62,"35,089.80",Elementary
1,61234,Newark Unified,"66,242,266.10","5,482.67","12,082.12",Unified
1,61242,New Haven Unified,"127,107,741.85","10,418.38","12,200.34",Unified
1,61259,Oakland Unified,"618,421,030.73","33,910.89","18,236.65",Unified
1,61275,Piedmont City Unified,"44,350,774.78","2,495.68","17,771.02",Unified
1,61291,San Leandro Unified,"115,645,126.77","8,613.44","13,426.13",Unified
1,61309,San Lorenzo Unified,"130,415,970.74","9,334.41","13,971.53",Unified
1,75093,Dublin Unified,"138,189,630.34","12,207.37","11,320.18",Unified
1,75101,Pleasanton Unified,"172,035,908.64","14,367.60","11,973.88",Unified
1,75119,Sunol Glen Unified,"3,537,088.60",279.06,"12,675.01",Unified
2,61333,Alpine County Unified,"3,298,640.23",68.7,"48,015.14",Unified
3,73981,Amador County Unified,"41,374,787.27","3,723.58","11,111.56",Unified
4,61382,Bangor Union Elementary,"1,341,422.82",98.17,"13,664.28",Elementary
4,61408,Biggs Unified,"6,841,559.37",562.7,"12,158.45",Unified
4,61424,Chico Unified,"154,106,704.49","11,830.15","13,026.61",Unified
4,61432,Durham Unified,"10,769,931.84","1,002.73","10,740.61",Unified
4,61457,Golden Feather Union Elementary,"2,148,458.86",43.23,"49,698.33",Elementary
4,61499,Manzanita Elementary,"3,043,498.08",284.58,"10,694.70",Elementary
4,61507,Oroville City Elementary,"30,683,633.25","2,214.04","13,858.66",Elementary
4,61515,Oroville Union High,"30,670,295.68","2,158.00","14,212.37",High
4,61523,Palermo Union Elementary,"16,763,568.79","1,266.24","13,238.86",Elementary
4,61531,Paradise Unified,"28,771,232.27","1,601.33","17,967.09",Unified
4,61549,Thermalito Union Elementary,"21,608,286.87","1,462.80","14,771.87",Elementary
4,73379,Pioneer Union Elementary,"1,066,107.32",47.48,"22,453.82",Elementary
4,75507,Gridley Unified,"26,483,633.56","1,983.49","13,352.04",Unified
5,61556,Bret Harte Union High,"11,473,177.64",588.44,"19,497.62",High
5,61564,Calaveras Unified,"30,680,818.68","2,699.49","11,365.41",Unified
5,61572,Mark Twain Union Elementary,"8,099,008.38",734.92,"11,020.26",Elementary
5,61580,Vallecito Union,"8,330,066.25",553.7,"15,044.37",Elementary
6,61598,Colusa Unified,"16,881,317.15","1,464.71","11,525.36",Unified
6,61606,Maxwell Unified,"4,452,842.34",328.4,"13,559.20",Unified
6,61614,Pierce Joint Unified,"16,209,976.62","1,400.48","11,574.59",Unified
6,61622,Williams Unified,"16,122,075.28","1,258.65","12,809.02",Unified
7,61630,Acalanes Union High,"86,309,854.25","5,413.25","15,944.18",High
7,61648,Antioch Unified,"196,188,265.83","15,148.06","12,951.38",Unified
7,61655,Brentwood Union Elementary,"99,683,586.63","8,979.90","11,100.75",Elementary
7,61663,Byron Union Elementary,"15,750,753.65","1,384.45","11,376.90",Elementary
7,61671,Canyon Elementary,"744,874.10",68.8,"10,826.66",Elementary
7,61697,John Swett Unified,"18,275,010.45","1,328.21","13,759.13",Unified
7,61705,Knightsen Elementary,"6,407,885.42",583.06,"10,990.10",Elementary
7,61713,Lafayette Elementary,"42,298,287.00","3,435.46","12,312.26",Elementary
7,61721,Liberty Union High,"92,555,459.30","7,860.29","11,775.07",High
7,61739,Martinez Unified,"47,060,250.96","3,970.10","11,853.67",Unified
7,61747,Moraga Elementary,"24,394,977.38","1,808.08","13,492.20",Elementary
7,61754,Mt. Diablo Unified,"339,332,997.28","29,122.07","11,652.09",Unified
7,61762,Oakley Union Elementary,"55,067,322.49","4,967.90","11,084.63",Elementary
7,61770,Orinda Union Elementary,"31,674,590.44","2,482.88","12,757.20",Elementary
7,61788,Pittsburg Unified,"144,339,850.93","10,770.46","13,401.46",Unified
7,61796,West Contra Costa Unified,"364,759,905.31","26,557.99","13,734.47",Unified
